date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:19	268/268	---M-Z	200	added ('OK')	text/plain	date:Wed,%2003%20Jun%202026%2009:08:59%20GMT	https://wandmose.dk/robots.txt		(from )
16:09:20	330667/330667	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Jun%202026%2009:08:59%20GMT	https://wandmose.dk/	C:/My%20Web%20Sites/wandmose/wandmose.dk/index.html	(from )
16:09:21	7568/7568	---M--	200	added ('OK')	image/x-icon	etag:%22f9fc2d106625d71:0%22	https://wandmose.dk/CustomerData/Files/favicon.ico	C:/My%20Web%20Sites/wandmose/wandmose.dk/CustomerData/Files/favicon.ico	(from https://wandmose.dk/)
16:09:21	4088/4088	---MCZ	200	added ('OK')	application/javascript	etag:%226a195bcd-6f5%22	http://cdn.iubenda.com/cs/iubenda_cs.js	C:/My%20Web%20Sites/wandmose/cdn.iubenda.com/cs/iubenda_cs.js	(from https://wandmose.dk/)
16:09:21	46002/46002	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c3f36cdb535d742ab94766eb8f08ed31%22	https://cs.iubenda.com/autoblocking/3522294.js	C:/My%20Web%20Sites/wandmose/cs.iubenda.com/autoblocking/3522294.js	(from https://wandmose.dk/)
16:09:21	1070/1070	---MC-	200	added ('OK')	text/javascript	date:Wed,%2003%20Jun%202026%2009:09:21%20GMT	https://www.google.com/recaptcha/api.js?hl=da-DK&onload=recaptchaCallback&render=6LdH5ZYpAAAAAHTaTlco0w8XFr8vANrX1rFfRFEb	C:/My%20Web%20Sites/wandmose/www.google.com/recaptcha/api63ad.js	(from https://wandmose.dk/)
16:09:23	97249/97249	---M-Z	200	added ('OK')	application/javascript	etag:%2201bef7cc291dc1:0%22	https://wandmose.dk/Site/JavaScripts/jquery-1.12.2.min.js	C:/My%20Web%20Sites/wandmose/wandmose.dk/Site/JavaScripts/jquery-1.12.2.min.js	(from https://wandmose.dk/)
16:09:24	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2201bef7cc291dc1:0%22	https://wandmose.dk/Common/Fonts/Font-awesome-4.4.0/fontawesome-webfont.eot?v=4.4.0	C:/My%20Web%20Sites/wandmose/wandmose.dk/Common/Fonts/Font-awesome-4.4.0/fontawesome-webfont93e3.eot	(from https://wandmose.dk/)
16:09:25	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2201bef7cc291dc1:0%22	https://wandmose.dk/Common/Fonts/Font-awesome-4.4.0/fontawesome-webfont.eot?	C:/My%20Web%20Sites/wandmose/wandmose.dk/Common/Fonts/Font-awesome-4.4.0/fontawesome-webfontd41d.eot	(from https://wandmose.dk/)
16:09:26	64464/64464	---M--	200	added ('OK')	application/font-woff2	etag:%2201bef7cc291dc1:0%22	https://wandmose.dk/Common/Fonts/Font-awesome-4.4.0/fontawesome-webfont.woff2?v=4.4.0	C:/My%20Web%20Sites/wandmose/wandmose.dk/Common/Fonts/Font-awesome-4.4.0/fontawesome-webfont93e3.woff2	(from https://wandmose.dk/)
